id1	id2	overlapp	overp	cor	p.value	mean1	mean2	ratio
AT1G01040	AT1G01050	0.00399321154038135	20	0.734344718335906	1.70451611420092e-25	6.78213857278959	30.909244768961	4.55744813191684
AT1G01160	AT1G01170	0.0417348608837971	51	0.623620585968109	8.86695358403164e-17	15.0940196669876	58.2404341832876	3.85851055373052
AT1G01380	AT1G01390	0.00862068965517241	12	0.380593072262038	2.74567700703131e-06	0.561811752409416	1.93703800480564	3.44784173079034
AT1G01730	AT1G01740	0.0375029670068835	79	0.692014357863766	1.06434764965655e-21	9.93304399176419	3.19418026470263	0.321571138449707
AT1G02860	AT1G02870	0.0267987183221672	46	0.43633752450654	5.10607359441247e-08	4.93552900603919	12.1206151227692	2.45578844900684
AT1G03030	AT1G03040	0.00869565217391304	23	0.839018810564726	4.29034843535188e-39	4.84052828113325	10.2114561077824	2.109574722987
AT1G04130	AT1G04140	0.00631521142229544	23	0.797059075919754	1.09533909565891e-32	3.41428623474055	21.9320009551779	6.42359762694136
AT1G04230	AT1G04240	0.265835929387331	640	0.707264100266823	5.46703578540995e-23	2.58152244503241	27.5682876436866	10.6790811355276
AT1G04900	AT1G04910	0.00407442618497895	15	0.641384557296508	6.14994566709083e-18	1.76084542126621	9.18098114361909	5.21396201661876
AT1G05400	AT1G05410	0.00593631948192121	11	0.556282510523702	5.4698656135329e-13	0.508311738008408	3.3061764664712	6.50423002117749
AT1G05720	AT1G05730	0.177881802223523	304	0.527782540823946	1.25868031565941e-11	14.9801303430558	0.31256972118465	0.0208656209276273
AT1G05835	AT1G05840	0.0291403593977659	60	0.424686808634723	1.24768766762483e-07	3.65304695433976	10.4932941897167	2.87247722815356
AT1G06450	AT1G06460	0.0667903525046382	126	0.461970318241213	6.3298759808476e-09	1.57436280510282	66.346419642416	42.1417600996251
AT1G06515	AT1G06500	0.0662629141432134	93	0.656653744538538	5.37367307842622e-19	7.56153918398892	4.00427068327552	0.529557618606845
AT1G06660	AT1G06670	0.00193143408981169	10	0.390545814595121	1.42002309385958e-06	0.154804959060185	5.26146206029737	33.9876841946118
AT1G06790	AT1G06800	0.155168708360198	361	0.520859096348653	2.58203023761315e-11	2.47130080633441	1.97381825007024	0.798696073343629
AT1G07010	AT1G07020	0.0116241524055538	18	0.362333372391654	8.71137563518719e-06	21.3616899031746	9.05678946051468	0.423973454420791
AT1G07950	AT1G07960	0.00549786194257789	9	0.880634337567474	1.37830763831398e-47	5.02808884555191	7.47653948728236	1.48695453022802
AT1G08310	AT1G08315	0.0386340117281821	56	0.369736098870926	5.50126586723146e-06	0.36328437419331	8.11582071206309	22.3401315569508
AT1G08600	AT1G08610	0.00542049934296978	33	0.649613232335645	1.68225760861393e-18	2.3182662795752	4.23507658510954	1.8268292225195
AT1G08830	AT1G08840	0.0244046116300598	145	0.452810463251065	1.36148511238404e-08	104.794270863865	0.73180437727595	0.00698324795089815
AT1G09050	AT1G09060	0.0107780397440216	48	0.661013074437281	2.6104650929034e-19	1.56625814536288	13.3416881420728	8.51819234369038
AT1G10490	AT1G10500	0.00899914872917427	37	0.658146501336488	4.20228699372529e-19	4.52557928988764	51.9091498400481	11.4701669145514
AT1G11303	AT1G11310	0.0199097837921916	64	0.536620519223987	4.91100938870322e-12	2.64404569508571	61.2956890550407	23.1825377182272
AT1G11790	AT1G11800	0.0116618075801749	36	0.535443428280369	5.57565822718788e-12	6.99131231182094	4.87852074233119	0.697797570004499
AT1G11890	AT1G11900	0.0107885949139481	21	0.370087723130992	5.38093064738046e-06	13.0361277602764	1.31285369353864	0.100708869817857
AT1G12775	AT1G12780	0.00158196559224837	4	0.426649566659801	1.07585894308426e-07	0.868789219467548	14.3911329855503	16.5645851296016
AT1G12810	AT1G12820	0.00543344035564337	11	0.614499603142247	3.27034197361214e-16	10.2506200939028	14.9596885304411	1.45939351896762
AT1G13690	AT1G13700	0.00148367952522255	2	0.344860297440314	2.46622082072763e-05	10.5500122178402	7.18755732797889	0.681284265796832
