id1	id2	overlapp	overlap	cor	p.value	mean1	mean2	ratio
AT1G13450	AT1G13448	1.88960205391528	2944	0.560899594372116	3.19872044341724e-13	8.20763428641691	7.59424785041585	0.925266353909533
AT1G30280	AT1G30282	0.765531062124248	1337	0.55210655671182	8.82366438850547e-13	3.34091135393179	0.315902156633542	0.0945556835148497
AT1G64580	AT1G64572	1.99564902102973	2752	0.609214614473134	6.83474305150851e-16	1.70045055985525	4.13969142756373	2.43446738487717
AT1G74420	AT1G09453	1.43304570150208	2242	0.305994821576898	0.000201917368606778	1.05771276887741	1.32268328954158	1.25051273697433
AT2G04850	AT2G04852	0.413517441860465	569	0.401469272320635	6.71513562667013e-07	4.83296023169491	0.80637971635175	0.166850062424154
AT2G29525	AT2G08345	0.290641967422549	455	0.613556622955689	3.73380660298902e-16	1.76234237839871	6.49124797638634	3.68330697596025
AT2G45380	AT2G09610	0.176674937965261	356	0.518172514126609	3.39753059131618e-11	10.9863462389848	1.25107541842413	0.113875476997504
AT3G48120	AT3G48115	1.62400545578541	3572	0.488316731952149	6.14117452587272e-10	1.36325488404576	7.02342041526132	5.15194957117468
AT3G52610	AT3G52605	1.4599556821779	2306	0.491243833426436	4.68055702848669e-10	5.45718664529066	0.5494181765339	0.100677915608407
AT4G21065	AT4G06980	1.97370456303171	2552	0.392380860698296	1.25449129873042e-06	0.498615399263285	1.6630019216806	3.33523979431385
AT4G26510	AT4G26488	1.9985394352483	8210	0.486391163372689	7.33233031626139e-10	7.71752164382896	0.307330426442844	0.0398224249475982
AT4G26540	AT4G26542	0.848007560245708	2692	0.569794581566339	1.11123254953062e-13	6.13013185313427	0.753008794552659	0.122837291691802
AT4G27860	AT4G27852	1.94935064935065	4503	0.625009774763258	7.24118678574252e-17	18.98304069116	0.478446870766817	0.0252039111410439
AT4G38530	AT4G38545	0.0225658169661513	54	0.440833610694407	3.5843261913903e-08	1.19899644802532	2.65554069854248	2.21480280689405
AT5G01180	AT5G01175	1.89915966386555	3729	0.360195361855505	9.92719698246955e-06	1.17195004187546	1.35648740911612	1.1574618035299
