id1	id2	cor	p.value	var1	var2
AT1G26210	AT1G26208	0.832607701905559	5.30319082199866e-38	1312.59814833054	1618.94129813848
AT1G18390	AT1G18382	0.784450161234704	4.74560535302783e-31	8698.24248990446	108.614104205654
AT1G05560	AT1G05562	0.745141537778698	1.39658194375056e-26	3462.40638235004	1357.33477789816
AT3G21760	AT3G21755	0.714773058463742	1.18041203232317e-23	12672.4905939131	767.959223874717
AT5G18240	AT5G18245	0.709157980274326	3.73112474964407e-23	939.594602580518	630.233231557175
AT5G66560	AT5G66558	0.708127177105695	4.59522596171401e-23	1577.83433467941	813.960799763617
AT2G01410	AT2G03975	0.706344129819659	6.57459945244906e-23	951.469417906038	54.837584950261
AT3G21780	AT3G21781	0.703996890042339	1.04927379091949e-22	2773.27016645327	90.8551167142716
AT1G17230	AT1G17232	0.70084473283982	1.95173156682516e-22	2432.65478183788	153.189697626317
AT2G35940	AT2G35945	0.687261072177528	2.58694326611222e-21	703275.611444893	636.105486063233
AT2G22850	AT2G07850	0.682276998473708	6.4473827538347e-21	453.263074953216	34.0531862503694
AT1G26220	AT1G26208	0.673624176354445	3.01690908242507e-20	787.518762927214	1618.94129813848
AT3G52070	AT3G52072	0.651493541840957	1.24396332256937e-18	823.126071111987	186.840539741948
AT2G45310	AT2G45315	0.645352557378236	3.30780923529423e-18	499.344922682951	715.969467152566
AT2G21185	AT2G21187	0.627484905085177	5.03487066186518e-17	4592.80173347779	60.7111198660494
AT4G27860	AT4G27852	0.625009774763258	7.24118678574252e-17	123704.514921698	31.2784398699892
AT2G45530	AT2G09640	0.614491814729755	3.27392973310338e-16	1347.23667881414	546.611543386191
AT2G29525	AT2G08345	0.613556622955689	3.73380660298902e-16	344.258150300404	199.468137496306
AT1G64580	AT1G64572	0.609214614473134	6.83474305150851e-16	193.38816113464	120.192652418005
AT1G23050	AT1G23052	0.581480579593717	2.63767635228202e-14	72.9072195410224	411.05998227125
AT2G36790	AT2G36792	0.577816183025467	4.16624449200909e-14	1997.40441248892	296.161528612233
AT1G67790	AT1G67792	0.577444016867786	4.36283967244487e-14	11.6222791293214	1007.99379493746
AT1G79510	AT1G09863	0.574757568478472	6.07528380858257e-14	17088.789815818	71.7722840539742
AT1G68870	AT1G68872	0.569813023526581	1.10876272060313e-13	234.558455628878	69.7121047966118
AT4G26540	AT4G26542	0.569794581566339	1.11123254953062e-13	25660.0804688269	248.028661479366
AT2G20500	AT2G07305	0.562640312700701	2.60731467410959e-13	147.027578055747	34.6547818378804
AT1G13450	AT1G13448	0.560899594372116	3.19872044341724e-13	5148.02501723628	834.60868708756
AT5G18260	AT5G18255	0.556158042866055	5.5489183643595e-13	2262.69063331035	2214.6054368167
AT1G30280	AT1G30282	0.55210655671182	8.82366438850547e-13	2276.49295774648	12.3339899537083
AT5G10140	AT5G01675	0.544939696612588	1.97432171815263e-12	40822.3564463705	205.405692898651
AT1G33420	AT1G33415	0.538492128116289	4.00939970309091e-12	1447.61252831675	1429.68393578253
AT5G10970	AT5G10965	0.53160321197672	8.40749565380494e-12	50.5281197675564	17.1301093272924
AT5G06860	AT5G06865	0.53011450434691	9.84492374983647e-12	53047.0889392298	9489.53856003152
AT4G28650	AT4G28652	0.526230008695337	1.48082702316999e-11	10.6934896089826	3255.94346498572
AT1G78270	AT1G78265	0.525829206933254	1.54407883404283e-11	2367.91697035359	1651.24948291145
AT4G26790	AT4G26795	0.524255169494541	1.81877247607241e-11	461.407662759775	101.476115433862
AT3G02910	AT3G01205	0.520759689478043	2.60849828833525e-11	6886.77356446371	12.4908893922978
AT2G45380	AT2G09610	0.518172514126609	3.39753059131618e-11	28998.4777898158	9.46843297547523
AT1G76880	AT1G76878	0.516640979224062	3.96873061851584e-11	23016.7229390328	9.30424505072392
AT2G46570	AT2G46572	0.512310096990773	6.13319449470098e-11	35.051413375357	84.2312616960504
AT3G15190	AT3G03025	0.504331074604081	1.34610013884965e-10	135135.506845267	12.7411602482025
AT1G26220	AT1G26218	0.498555710149765	2.34821971402425e-10	787.518762927214	39.0683541810302
AT3G52610	AT3G52605	0.491243833426436	4.68055702848669e-10	1453.06402048656	11.9967497291441
AT3G01140	AT3G01142	0.490755525376564	4.8983790066801e-10	104.573426573427	143.420663843199
AT4G39840	AT4G39838	0.489724043392434	5.39112799219556e-10	27368.6720181227	2558.98315768738
AT1G15000	AT1G15002	0.4888987512008	5.81950769603365e-10	1889.39003250271	117.79178567911
AT3G48120	AT3G48115	0.488316731952149	6.14117452587272e-10	240.797695262484	7481.47453954496
AT4G26510	AT4G26488	0.486391163372689	7.33233031626139e-10	31279.2289963558	8.67113168521619
AT2G19570	AT2G19572	0.482487817797909	1.04677579480592e-09	2282.95459470107	54.4163301487245
AT3G63440	AT3G63445	0.480973359247047	1.20038445213228e-09	295.280606717226	489.701467546538
AT3G24520	AT3G24518	0.476176271027335	1.84408915726503e-09	10324.3775238846	112.337831182902
AT1G72600	AT1G09327	0.475589462049331	1.94264840586009e-09	151.625529400177	40.4846843297547
AT1G55265	AT1G08043	0.463480067354217	5.5670683607477e-09	6677.3196099675	515.082438688072
AT2G33050	AT2G33051	0.441181308239207	3.48682405905354e-08	10027.7164384911	289.406086870876
AT4G38530	AT4G38545	0.440833610694407	3.5843261913903e-08	181.098000590958	1012.41288289176
AT3G62090	AT3G09745	0.438295631690292	4.37956473019751e-08	944.763616665025	52.769723234512
AT2G45243	AT2G45245	0.437367969604406	4.71044564717724e-08	23.3822515512656	1818.28503890476
AT1G79720	AT1G09913	0.430706345914442	7.89679637816406e-08	3679.50851964936	9.10706195213237
AT5G01540	AT5G01542	0.430579962449219	7.97373141517216e-08	20055.4565153157	662.527036343938
AT5G67490	AT5G67488	0.428716641861289	9.19479763411244e-08	1570.41692110706	12.1944252930168
AT2G23670	AT2G23672	0.427692672855499	9.94008041654277e-08	3931.55392494829	339.013493548705
AT1G80310	AT1G80325	0.427024902664357	1.04569037770646e-07	8918.07918841722	210.665616074067
AT5G19220	AT5G19221	0.423972743077473	1.31648528841398e-07	825280.866147937	37.950261006599
AT3G46670	AT3G46668	0.422640052166609	1.45471201900325e-07	2452.49985226042	38.1214419383433
AT4G40080	AT4G40085	0.41576273948864	2.41875511637471e-07	198.27450014774	16.0763321185856
AT5G01210	AT5G01215	0.414741111421052	2.60601181191052e-07	2266.20023638333	14.3305426967399
