id1	id2	overlapp	overlap	cor	p.value	mean1	mean2	ratio
AT1G09420	AT1G09421	0.203985932004689	696	0.337907749144249	3.66891223777569e-05	10.4490247426449	1.63776637624033	0.156738682946767
AT1G17230	AT1G17232	0.998011489173663	4517	0.70084473283982	1.95173156682516e-22	2.11894487739724	0.510798783698142	0.241062799295454
AT1G18390	AT1G18382	0.203550295857988	860	0.784450161234704	4.74560535302783e-31	4.2837161428025	1.87946724042216	0.438746914540553
AT1G72600	AT1G09327	0.334640522875817	768	0.475589462049331	1.94264840586009e-09	0.991420918508613	1.11017528044301	1.11978198131329
AT1G79720	AT1G09913	0.229751191106406	434	0.430706345914442	7.89679637816406e-08	6.95315404015557	1.34219068493024	0.193033359706815
AT2G01410	AT2G03975	0.871141975308642	1129	0.706344129819659	6.57459945244906e-23	5.40215072332955	1.38283596694137	0.255978782852078
AT2G22850	AT2G07850	0.36675235646958	856	0.682276998473708	6.4473827538347e-21	1.60012358460653	1.00532365948598	0.628278758689251
AT2G31900	AT2G08485	0.0336633663366337	340	0.350332572876177	1.79205332927103e-05	0.659583890570173	1.25470818733044	1.90227233452566
AT2G35940	AT2G35945	0.366147516896856	1246	0.687261072177528	2.58694326611222e-21	52.61714797057	2.91280565367007	0.0553584860832683
AT3G01140	AT3G01142	0.802745297407219	1579	0.490755525376564	4.8983790066801e-10	1.10343852480082	1.39817031207363	1.26710304257866
AT3G15190	AT3G03025	0.347262247838617	482	0.504331074604081	1.34610013884965e-10	67.9866438276012	0.847560146633473	0.012466568415742
AT3G22210	AT3G04255	0.369883040935673	253	0.314171301667776	0.000132811674733791	30.7490302821574	2.76827756805413	0.0900281258515156
AT4G28650	AT4G28652	0.766201117318436	2743	0.526230008695337	1.48082702316999e-11	0.123229341387777	4.31104874841284	34.9839470037163
AT4G31250	AT4G31248	0.554928642548955	1672	0.341522149004935	2.98792156981678e-05	0.771060956404256	0.475720223677084	0.616968372896929
AT5G01730	AT5G01732	0.709792284866469	3588	0.316570549052124	0.000117177305147268	3.95320149940408	0.159388588575757	0.040318862724246
AT5G19220	AT5G19221	0.799329983249581	2386	0.423972743077473	1.31648528841398e-07	81.3726902138908	0.486967661786402	0.0059844114838331
AT5G41610	AT5G41612	0.813876651982379	2956	0.411111020414347	3.38986024141293e-07	0.225306534570885	1.46535660396352	6.50383534926945
AT5G64570	AT5G64572	0.45114671693371	1436	0.36177236084083	9.01601486723726e-06	16.2658052171177	1.32894197632512	0.0817015793922446
