id1	id2	cor	p.value	mean1	mean2	ratio
AT1G26210	AT1G26208	0.832607701905559	5.30319082199866e-38	4.70276953668931	1.28706832044647	0.273683052168564
AT1G18390	AT1G18382	0.784450161234704	4.74560535302783e-31	4.2837161428025	1.87946724042216	0.438746914540553
AT1G05560	AT1G05562	0.745141537778698	1.39658194375056e-26	4.75507662583663	2.64858542949559	0.55700162960667
AT3G21760	AT3G21755	0.714773058463742	1.18041203232317e-23	8.78893433118942	1.86162472214859	0.211814612784421
AT5G18240	AT5G18245	0.709157980274326	3.73112474964407e-23	2.57485723207872	0.865264027622211	0.336043496642208
AT5G66560	AT5G66558	0.708127177105695	4.59522596171401e-23	3.08195026831846	1.87771376300322	0.609261538807281
AT2G01410	AT2G03975	0.706344129819659	6.57459945244906e-23	5.40215072332955	1.38283596694137	0.255978782852078
AT3G21780	AT3G21781	0.703996890042339	1.04927379091949e-22	6.5092659523373	1.01723645993037	0.156275141833022
AT1G17230	AT1G17232	0.70084473283982	1.95173156682516e-22	2.11894487739724	0.510798783698142	0.241062799295454
AT2G35940	AT2G35945	0.687261072177528	2.58694326611222e-21	52.61714797057	2.91280565367007	0.0553584860832683
AT2G22850	AT2G07850	0.682276998473708	6.4473827538347e-21	1.60012358460653	1.00532365948598	0.628278758689251
AT1G26220	AT1G26208	0.673624176354445	3.01690908242507e-20	9.09363824271992	1.28706832044647	0.141535025486291
AT3G52070	AT3G52072	0.651493541840957	1.24396332256937e-18	9.08492234494506	0.973961101514591	0.107206321037682
AT2G45310	AT2G45315	0.645352557378236	3.30780923529423e-18	1.62646964183811	2.14143939545	1.31661811592739
AT2G21185	AT2G21187	0.627484905085177	5.03487066186518e-17	20.8322373490971	1.04367662682552	0.0500991136638886
AT4G27860	AT4G27852	0.625009774763258	7.24118678574252e-17	18.98304069116	0.478446870766817	0.0252039111410439
AT2G45530	AT2G09640	0.614491814729755	3.27392973310338e-16	11.1609163584824	5.68710686778047	0.509555549483015
AT2G29525	AT2G08345	0.613556622955689	3.73380660298902e-16	1.76234237839871	6.49124797638634	3.68330697596025
AT1G64580	AT1G64572	0.609214614473134	6.83474305150851e-16	1.70045055985525	4.13969142756373	2.43446738487717
AT1G23050	AT1G23052	0.581480579593717	2.63767635228202e-14	1.86419425374064	3.15915006323046	1.69464639046677
AT2G36790	AT2G36792	0.577816183025467	4.16624449200909e-14	4.1683558959326	1.89264485248287	0.454050685626359
AT1G67790	AT1G67792	0.577444016867786	4.36283967244487e-14	0.172195574904229	2.32138714973808	13.48110804258
AT1G79510	AT1G09863	0.574757568478472	6.07528380858257e-14	16.7134145528471	0.668580663767969	0.0400026375013883
AT1G68870	AT1G68872	0.569813023526581	1.10876272060313e-13	2.25806114444196	0.647874287969935	0.286916184517247
AT4G26540	AT4G26542	0.569794581566339	1.11123254953062e-13	6.13013185313427	0.753008794552659	0.122837291691802
AT2G20500	AT2G07305	0.562640312700701	2.60731467410959e-13	2.42904122685379	1.1456897205111	0.471663349244613
AT1G13450	AT1G13448	0.560899594372116	3.19872044341724e-13	8.20763428641691	7.59424785041585	0.925266353909533
AT5G18260	AT5G18255	0.556158042866055	5.5489183643595e-13	5.36467801505911	4.77263460680313	0.889640458086383
AT1G30280	AT1G30282	0.55210655671182	8.82366438850547e-13	3.34091135393179	0.315902156633542	0.0945556835148497
AT5G10140	AT5G01675	0.544939696612588	1.97432171815263e-12	2.70186750907204	0.21782568923626	0.0806204184716197
AT1G33420	AT1G33415	0.538492128116289	4.00939970309091e-12	3.93452058395628	1.17973324736466	0.299841676308732
AT5G10970	AT5G10965	0.53160321197672	8.40749565380494e-12	0.875246300730572	0.139790314984009	0.159715402244289
AT5G06860	AT5G06865	0.53011450434691	9.84492374983647e-12	33.6930794616833	10.0906776621025	0.299488138909294
AT4G28650	AT4G28652	0.526230008695337	1.48082702316999e-11	0.123229341387777	4.31104874841284	34.9839470037163
AT1G78270	AT1G78265	0.525829206933254	1.54407883404283e-11	5.17256884396304	3.96908883775489	0.767334173306801
AT4G26790	AT4G26795	0.524255169494541	1.81877247607241e-11	1.73119092220607	0.808535332389783	0.467039956147332
AT3G02910	AT3G01205	0.520759689478043	2.60849828833525e-11	18.5456921503334	0.433883705439561	0.0233953902568021
AT2G45380	AT2G09610	0.518172514126609	3.39753059131618e-11	10.9863462389848	1.25107541842413	0.113875476997504
AT1G76880	AT1G76878	0.516640979224062	3.96873061851584e-11	9.05745850126313	0.148415120028141	0.016385956392452
AT2G46570	AT2G46572	0.512310096990773	6.13319449470098e-11	0.376989388107115	0.621995013021849	1.6499005877723
AT3G15190	AT3G03025	0.504331074604081	1.34610013884965e-10	67.9866438276012	0.847560146633473	0.012466568415742
AT1G26220	AT1G26218	0.498555710149765	2.34821971402425e-10	9.09363824271992	1.12771462133948	0.124011379300501
AT3G52610	AT3G52605	0.491243833426436	4.68055702848669e-10	5.45718664529066	0.5494181765339	0.100677915608407
AT3G01140	AT3G01142	0.490755525376564	4.8983790066801e-10	1.10343852480082	1.39817031207363	1.26710304257866
AT4G39840	AT4G39838	0.489724043392434	5.39112799219556e-10	16.3807201378335	4.98402342112201	0.304261557439757
AT1G15000	AT1G15002	0.4888987512008	5.81950769603365e-10	5.84149740036069	0.92977235121258	0.159166783358522
AT3G48120	AT3G48115	0.488316731952149	6.14117452587272e-10	1.36325488404576	7.02342041526132	5.15194957117468
AT4G26510	AT4G26488	0.486391163372689	7.33233031626139e-10	7.71752164382896	0.307330426442844	0.0398224249475982
AT2G19570	AT2G19572	0.482487817797909	1.04677579480592e-09	9.65932875510793	0.928654645173105	0.0961407017730942
AT3G63440	AT3G63445	0.480973359247047	1.20038445213228e-09	1.50422850606212	1.08869855323624	0.723758756630876
AT3G24520	AT3G24518	0.476176271027335	1.84408915726503e-09	9.20869331723948	0.380480699405384	0.0413175557375867
AT1G72600	AT1G09327	0.475589462049331	1.94264840586009e-09	0.991420918508613	1.11017528044301	1.11978198131329
AT1G55265	AT1G08043	0.463480067354217	5.5670683607477e-09	25.1228522233362	6.28754474416442	0.250271931238923
AT2G33050	AT2G33051	0.441181308239207	3.48682405905354e-08	6.94531771979309	0.90161813751317	0.129816687139264
AT4G38530	AT4G38545	0.440833610694407	3.5843261913903e-08	1.19899644802532	2.65554069854248	2.21480280689405
AT3G62090	AT3G09745	0.438295631690292	4.37956473019751e-08	1.91170546376987	0.835911264910139	0.437259442289675
AT2G45243	AT2G45245	0.437367969604406	4.71044564717724e-08	1.30024242970231	5.25077649134169	4.03830575852217
AT1G79720	AT1G09913	0.430706345914442	7.89679637816406e-08	6.95315404015557	1.34219068493024	0.193033359706815
AT5G01540	AT5G01542	0.430579962449219	7.97373141517216e-08	11.5634430705043	1.81122368894819	0.156633597614901
AT5G67490	AT5G67488	0.428716641861289	9.19479763411244e-08	14.5251925821461	0.538348921349305	0.0370631176354265
AT2G23670	AT2G23672	0.427692672855499	9.94008041654277e-08	24.2367742822389	1.54579931054517	0.0637790859684639
AT1G80310	AT1G80325	0.427024902664357	1.04569037770646e-07	15.0509273743475	0.833988014819289	0.0554110716287637
AT5G19220	AT5G19221	0.423972743077473	1.31648528841398e-07	81.3726902138908	0.486967661786402	0.0059844114838331
AT3G46670	AT3G46668	0.422640052166609	1.45471201900325e-07	6.70968812490153	0.599474108417337	0.0893445562980075
AT4G40080	AT4G40085	0.41576273948864	2.41875511637471e-07	2.41076680285314	0.334647078304596	0.138813541777886
AT5G01210	AT5G01215	0.414741111421052	2.60601181191052e-07	5.80244184490212	0.407536228499846	0.0702352973787918
AT5G41610	AT5G41612	0.411111020414347	3.38986024141293e-07	0.225306534570885	1.46535660396352	6.50383534926945
AT2G04850	AT2G04852	0.401469272320635	6.71513562667013e-07	4.83296023169491	0.80637971635175	0.166850062424154
AT4G38250	AT4G09695	0.401080510396667	6.89970353620062e-07	39.1526475329482	1.27883882595674	0.032662895271145
AT4G21065	AT4G06980	0.392380860698296	1.25449129873042e-06	0.498615399263285	1.6630019216806	3.33523979431385
AT1G48320	AT1G48315	0.374988333514188	3.94287190789877e-06	12.5787448568454	0.376244558675401	0.0299111368389548
AT3G56410	AT3G56408	0.3709332538898	5.10169088343295e-06	14.8599667938081	0.861272227004672	0.0579592295834435
AT2G42370	AT2G42365	0.368450796275543	5.9631724307122e-06	0.511416751497846	0.494832410383375	0.967571767905727
AT5G64570	AT5G64572	0.36177236084083	9.01601486723726e-06	16.2658052171177	1.32894197632512	0.0817015793922446
AT5G01180	AT5G01175	0.360195361855505	9.92719698246955e-06	1.17195004187546	1.35648740911612	1.1574618035299
AT2G31900	AT2G08485	0.350332572876177	1.79205332927103e-05	0.659583890570173	1.25470818733044	1.90227233452566
AT4G31250	AT4G31248	0.341522149004935	2.98792156981678e-05	0.771060956404256	0.475720223677084	0.616968372896929
AT5G38210	AT5G38212	0.341466460326624	2.99744642285374e-05	13.1540024057873	0.273096975163908	0.0207615117238959
AT1G09420	AT1G09421	0.337907749144249	3.66891223777569e-05	10.4490247426449	1.63776637624033	0.156738682946767
AT4G26490	AT4G26488	0.336561802437605	3.95786393526068e-05	1.02697080189624	0.307330426442844	0.299259166741038
AT3G03700	AT3G03702	0.329951432668357	5.71429624689022e-05	0.480976340043537	0.593969416878413	1.23492439737191
AT1G07130	AT1G07128	0.3277479520237	6.44653131860173e-05	1.51055134051373	1.97303913161944	1.3061715141363
AT1G75300	AT1G75295	0.32521138285261	7.39794666840482e-05	2.64127091210767	1.76397370422363	0.667850350426954
AT5G01730	AT5G01732	0.316570549052124	0.000117177305147268	3.95320149940408	0.159388588575757	0.040318862724246
AT3G22210	AT3G04255	0.314171301667776	0.000132811674733791	30.7490302821574	2.76827756805413	0.0900281258515156
AT1G74420	AT1G09453	0.305994821576898	0.000201917368606778	1.05771276887741	1.32268328954158	1.25051273697433
AT2G24540	AT2G24545	0.304511386630605	0.0002175798918736	4.54289772513684	1.07439176005644	0.236499218133748
AT4G09430	AT4G09432	0.301891551236218	0.000248027553739571	0.433614231965804	0.529975878885259	1.22222897639359
AT1G27920	AT1G27921	0.301377025967843	0.000254453570894585	0.252649754234108	3.64077609807357	14.4103686509031
AT4G04220	AT4G04221	0.300196867346736	0.000269780656970305	5.10339659389804	0.918487722755017	0.179975768266417
