id1	id2	overlapp	overlap	cor	p.value	mean1	mean2
AT1G26210	AT1G26208	0.212005803409503	1169	0.832607701905559	5.30319082199866e-38	8.42986619670051	10.7708958463635
AT1G18390	AT1G18382	0.203550295857988	860	0.784450161234704	4.74560535302783e-31	29.0851749805004	2.31573746685319
AT1G05560	AT1G05562	1	2136	0.745141537778698	1.39658194375056e-26	12.99973718051	5.78248389377527
AT3G21760	AT3G21755	0.530945648759032	1690	0.714773058463742	1.18041203232317e-23	23.2415409639552	8.99701131452357
AT5G18240	AT5G18245	0.444861919969942	2368	0.709157980274326	3.73112474964407e-23	7.96683470009666	3.9114089534887
AT5G66560	AT5G66558	0.87378640776699	2520	0.708127177105695	4.59522596171401e-23	8.63704425086013	8.83848807292573
AT2G01410	AT2G03975	0.871141975308642	1129	0.706344129819659	6.57459945244906e-23	11.9836819046701	2.41497357496133
AT3G21780	AT3G21781	1	1616	0.703996890042339	1.04927379091949e-22	17.0447147844219	2.75976355304825
AT2G35940	AT2G35945	0.366147516896856	1246	0.687261072177528	2.58694326611222e-21	254.500089556179	5.46457759764414
AT1G17230	AT1G17232 	1	                4517	0.70084473283982	1.95173156682516e-22	12.6665	            3.19
AT2G22850	AT2G07850	0.36675235646958	856	0.682276998473708	6.4473827538347e-21	5.64814184402953	1.137662979157
AT1G26220	AT1G26208	0.114568374022658	359	0.673624176354445	3.01690908242507e-20	7.70144733761256	10.7708958463635
AT3G52070	AT3G52072	0.285442073170732	749	0.651493541840957	1.24396332256937e-18	9.80825888000652	2.85959221143529
AT2G45310	AT2G45315	0.990369994931576	1954	0.645352557378236	3.30780923529423e-18	4.32703429034418	6.0934623805694
AT2G21185	AT2G21187	0.374792703150912	452	0.627484905085177	5.03487066186518e-17	11.7714340785081	2.22439006771813
AT4G27860	AT4G27852	0.0506493506493507	117	0.625009774763258	7.24118678574252e-17	67.5823664010999	1.04486446364678
AT2G45530	AT2G09640	0.703266787658802	775	0.614491814729755	3.27392973310338e-16	16.0942634804472	9.13970016944028
AT2G29525	AT2G08345	0.290641967422549	455	0.613556622955689	3.73380660298902e-16	5.83562594510745	5.31537076552104
AT1G64580	AT1G64572	0.00435097897026831	6	0.609214614473134	6.83474305150851e-16	3.7132189143742	3.52202952977885
AT1G23050	AT1G23052	0.99697519661222	824	0.581480579593717	2.63767635228202e-14	1.6727052133271	3.7067424259448
AT2G36790	AT2G36792	0.819169960474308	1658	0.577816183025467	4.16624449200909e-14	10.1582853961668	6.34775995701099
AT1G67790	AT1G67792	0.889739130434783	2558	0.577444016867786	4.36283967244487e-14	0.603589895992879	9.92896189206734
AT1G79510	AT1G09863	0.60538021605592	1429	0.574757568478472	6.07528380858257e-14	48.5221961280694	2.19801776614514
AT1G68870	AT1G68872	0.288363171355499	451	0.569813023526581	1.10876272060313e-13	2.04525584520404	1.55640673177943
AT4G26540	AT4G26542	0.848007560245708	2692	0.569794581566339	1.11123254953062e-13	34.6206917251158	2.92247893080147
AT2G20500	AT2G07305	0.956566701137539	925	0.562640312700701	2.60731467410959e-13	3.76487486620834	1.62791919082154
AT1G13450	AT1G13448	0.110397946084724	172	0.560899594372116	3.19872044341724e-13	29.9728333655525	5.40242905036091
