id1	id2	overlapp	overlap	cor	p.value	mean1	mean2
AT4G31530	AT4G31540	0.559000193760899	2885	0.826246668701244	5.79798241692583e-37	33.2009434211894	20.6535316717147
AT1G22610	AT1G22620	0.384406165004533	3392	0.81362517063457	5.06409342963752e-35	60.2170202575552	31.419003796097
AT3G49240	AT3G49250	0.410795792816035	2070	0.735062929016401	1.44868919330294e-25	20.2209612745027	8.08903822697746
AT5G17280	AT5G17290	0.150537634408602	574	0.730502176343085	4.03279455938022e-25	13.4429243705986	13.4831713400535
AT5G66520	AT5G66530	0.468296224588577	1935	0.715034822905969	1.11799605635796e-23	5.4937448533204	31.6518622796568
AT5G10530	AT5G10540	0.299704724409449	3045	0.686118162084237	3.19471056164555e-21	1.56747120202661	57.6168508144149
AT3G22670	AT3G22680	0.634214186369958	1824	0.684112586836543	4.6157095392036e-21	2.17283456140173	9.48857308400766
AT1G80160	AT1G80165	0.20430733410943	351	0.6743215080408	2.66927352864563e-20	22.3176328131871	3.13488072745918
AT3G22520	AT3G22530	0.227793331636549	895	0.643854432117216	4.18496440293661e-18	25.3727882424788	22.0793281760829
AT5G52190	AT5G52170	0.150585518720106	913	0.635029588656213	1.62967962430086e-17	11.4328295628839	1.23308406800117
AT4G13160	AT4G13170	0.440519826724425	1322	0.617699079493469	2.07901898595111e-16	8.10329405641033	18.184125409716
AT4G14890	AT4G14900	0.176658905704307	607	0.60984396509864	6.26488111821835e-16	41.3284568530118	37.3099121713397
AT3G15260	AT3G15270	0.499617444529457	1959	0.559348695113749	3.83392191530179e-13	37.9436622601136	5.79689383041901
AT3G12020	AT3G12030	0.0761426857205193	698	0.55087506576577	1.01471278472406e-12	37.7878337561435	10.1866458815568
AT1G07500	AT1G07510	0.0333961079723792	266	0.54001786071124	3.39519609528677e-12	3.79664931752669	51.6023471289625
AT3G18915	AT3G18930	0.193923480870218	517	0.53871579644351	3.91305164118752e-12	0.803737602570627	8.08318380221338
AT3G53235	AT3G53240	0.158507297247367	858	0.528339674637467	1.18712588866284e-11	3.78834694828556	12.4931622037837
