id1 id2 cor p.value var1 var2 root promoterdis length1 length2 overlap overlapc s.median as.median single single2
AT5G45480 AT5G45472 0.281767120709072 0.000651495963511422 21084.5475228996 2727.67428346302 yes 7531 2981 9515 2981 B 5.61617846605649 0.696065581811085 yes yes
AT5G10140 AT5G01675 0.544939696612588 1.97432171815263e-12 40822.3564463705 205.405692898651 no 6078 6067 6230 6067 E 1.23916284456206 0.16290488372164 no no
AT3G56410 AT3G56408 0.3709332538898 5.10169088343295e-06 175760.473259135 675.55264453856 yes 5867 5167 6031 5167 B 14.2111945865201 0.818795518430565 yes yes
AT5G01730 AT5G01732 0.316570549052124 0.000117177305147268 12727.4371121836 18.2776519255392 yes 5048 5055 3588 3588 A 3.62481010416295 0.116161762433915 yes no
AT5G38210 AT5G38212 0.341466460326624 2.99744642285374e-05 109073.64581897 48.7291440953413 yes 4870 4881 4956 4870 E 12.141709010326 0.26280769064715 no no
AT5G15850 AT5G15845 0.267732111390115 0.00122610408976496 222630.661774845 201.265241800453 yes 4817 1807 5211 1807 B 9.58758774017003 0.318728449993791 no no
AT4G38530 AT4G38545 0.440833610694407 3.5843261913903e-08 181.098000590958 1012.41288289176 yes 4732 2419 2367 54 C 1.16889872333095 2.40930739746753 no no
AT1G33420 AT1G33415 0.538492128116289 4.00939970309091e-12 1447.61252831675 1429.68393578253 yes 4587 2691 7662 2691 B 3.83172080612665 1.10011223931037 yes yes
AT1G17230 AT1G17232 0.70084473283982 1.95173156682516e-22 2432.65478183788 153.189697626317 yes 4517 4526 4517 4517 E 1.86916290564818 0.460706561454159 no no
AT1G26210 AT1G26208 0.832607701905559 5.30319082199866e-38 1312.59814833054 1618.94129813848 yes 4430 1169 5514 1169 B 4.01892797894605 1.15992623667164 no yes
AT4G09430 AT4G09432 0.301891551236218 0.000248027553739571 164.697035359007 92.5333398995371 yes 4288 2206 2281 199 C 0.305311581312634 0.422988736663322 no no
AT1G27920 AT1G27921 0.301377025967843 0.000254453570894585 20.7663744705998 4421.34246035654 yes 3770 3194 3818 3194 B 0.20486014212335 3.32791244766063 yes yes
AT5G01180 AT5G01175 0.360195361855505 9.92719698246955e-06 437.062149118487 43.5103910174333 yes 3729 2920 1007 198 D 1.11107210013515 1.32644717831133 no yes
AT1G56610 AT1G56612 0.267977961813814 0.00121294316689022 2705.98640795824 5534.12656357727 yes 3689 2844 1783 938 C 4.85078395255864 5.18018256827546 yes yes
AT4G37560 AT4G37553 0.295131573609039 0.000345795967518816 16609.8104993598 21.7300305328474 yes 3644 2198 3455 2009 C 13.3383784207324 0.195914958442655 no yes
AT5G41610 AT5G41612 0.411111020414347 3.38986024141293e-07 28.3817590859844 316.544962080173 yes 3582 3632 2956 2956 A 0.19234410807789 1.4427392063363 yes yes
AT1G75290 AT1G75295 0.220217441876657 0.00822160393972315 28.5475228996356 380.659214025411 yes 3515 1452 2417 354 C 0.730993906409155 1.5922064085842 yes yes
AT1G79530 AT1G79529 0.237785812015588 0.0042406425440947 638.647099379494 104.254604550379 yes 3513 3193 749 429 D 1.62588217031132 2.24966171105711 yes yes
AT1G15170 AT1G15175 0.292422582047675 0.000394159291127778 421.924652811977 121.965625923372 yes 3510 2340 1415 245 C 2.19960648113076 1.70622209889649 no no
